sort,proddesc,batch,GL_reviewed,label_filename,label_completed(1=yes),URL,Link,Reference,publication_id,title,year,scale,north,south,east,west,series,authors
332,8809,0,missing,USGS_OF-73-29_1.json,NTL,https://ngmdb.usgs.gov/Prodesc/proddesc_8809.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_8809.htm,"Braddock, W.A., Calvert, R.H., O'Connor, J.T., and Swann, G.A., 1973, Geologic map and sections of the Horsetooth Reservoir quadrangle, Larimer County, Colorado: U.S. Geological Survey, Open-File Report OF-73-29, scale 1:24,000.",8809,"Geologic map and sections of the Horsetooth Reservoir quadrangle, Larimer County, Colorado",1973,24000,40.625,40.5,-105.125,-105.25,Open-File Report OF-73-29,"Braddock, W.A.; Calvert, R.H.; O'Connor, J.T.; Swann, G.A."
4746,21523,1,yes,USGS_B-1403_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21523.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21523.htm,"Berg, H.C., Elliott, R.L., Smith, J.G., Pittman, T.L., and Kimball, A.L., 1977, Mineral resources of the Granite Fiords wilderness study area, Alaska: U.S. Geological Survey, Bulletin 1403, scale 1:125,000.",21523,"Mineral resources of the Granite Fiords wilderness study area, Alaska",1977,125000,56.25,55.333,-130.083,-131.167,Bulletin 1403,"Berg, H.C.; Elliott, R.L.; Smith, J.G.; Pittman, T.L.; Kimball, A.L."
4747,21581,1,yes,USGS_B-1491_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21581.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21581.htm,"Bromfield, C.S., Patten, L.L., and Mabey, D.R., 1981, Mineral resources of the Lone Peak Wilderness study area, Utah and Salt Lake Counties, Utah, with a section on interpretation of aeromagnetic data: U.S. Geological Survey, Bulletin 1491, scale 1:48,000.",21581,"Mineral resources of the Lone Peak Wilderness study area, Utah and Salt Lake Counties, Utah, with a section on interpretation of aeromagnetic data",1981,48000,40.625,40.375,-111.583,-111.875,Bulletin 1491,"Bromfield, C.S.; Patten, L.L.; Mabey, D.R."
4749,21584,1,yes,USGS_B-1495_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21584.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21584.htm,"Brown, R.D., Grimes, D.J., Leinz, Reinhard, Federspiel, F.E., Leszcykowsky, A.M., and Griscom, Andrew, 1981, Mineral resources of the Snow Mountain Wilderness Study Area, California, with a section on aeromagnetic interpretation: U.S. Geological Survey, Bulletin 1495, scale 1:48,000.",21584,"Mineral resources of the Snow Mountain Wilderness Study Area, California, with a section on aeromagnetic interpretation",1981,48000,39.479,39.325,-122.625,-122.875,Bulletin 1495,"Brown, R.D.; Grimes, D.J.; Leinz, Reinhard; Federspiel, F.E.; Leszcykowsky, A.M.; Griscom, Andrew"
4752,21604,1,yes,USGS_B-1524_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21604.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21604.htm,"Brock, M.R., Gaskill, D.L., Wynn, J.C., Neuerberg, G.J., Botinelly, Theodore, Ryder, R.T., and Lindquist, A.E., 1985, Mineral resources of the Chama - southern San Juan Mountains wilderness study area, Mineral, Rio Grande, Archuleta, and Conejos Counties, Colorado: U.S. Geological Survey, Bulletin 1524, scale 1:48,000.",21604,"Mineral resources of the Chama - southern San Juan Mountains wilderness study area, Mineral, Rio Grande, Archuleta, and Conejos Counties, Colorado",1985,48000,37.458,37,-106.417,-106.917,Bulletin 1524,"Brock, M.R.; Gaskill, D.L.; Wynn, J.C.; Neuerberg, G.J.; Botinelly, Theodore; Ryder, R.T.; Lindquist, A.E."
4753,21605,1,yes,USGS_B-1525_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21605.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21605.htm,"Brew, D.A., Kimball, A.L., Grybeck, Donald, Still, J.C., Jachens, R.C., Barnes, D.F., Johnson, B.R., and Rataj, J.L., 1984, Mineral resources of the Tracy Arm - Fords Terror Wilderness Study Area and vicinity, Alaska: U.S. Geological Survey, Bulletin 1525, scale 1:125,000.",21605,"Mineral resources of the Tracy Arm - Fords Terror Wilderness Study Area and vicinity, Alaska",1984,125000,58.5,57.4,-132.55,-133.95,Bulletin 1525,"Brew, D.A.; Kimball, A.L.; Grybeck, Donald; Still, J.C.; Jachens, R.C.; Barnes, D.F.; Johnson, B.R.; Rataj, J.L."
4754,21809,1,yes,USGS_B-1591_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_21809.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_21809.htm,"Simons, F.S., Love, J.D., Keefer, W.R., Harwood, D.S., Kulik, D.M., and Bieniewski, C.L., 1988, Mineral resources of the Gros Ventre Wilderness Study Area, Teton and Sublette counties, Wyoming: U.S. Geological Survey, Bulletin 1591, scale 1:48,000.",21809,"Mineral resources of the Gros Ventre Wilderness Study Area, Teton and Sublette counties, Wyoming",1988,48000,43.625,43.25,-110.125,-110.625,Bulletin 1591,"Simons, F.S.; Love, J.D.; Keefer, W.R.; Harwood, D.S.; Kulik, D.M.; Bieniewski, C.L."
4812,8879,1,yes,USGS_I-1003_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_8879.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_8879.htm,"Haynes, D.D., and Hackman, R.J., 1978, Geology, structure, and uranium deposits of the Marble Canyon 1 degree x 2 degrees quadrangle, Arizona: U.S. Geological Survey, Miscellaneous Investigations Series Map I-1003, scale 1:250,000.",8879,"Geology, structure, and uranium deposits of the Marble Canyon 1 degree x 2 degrees quadrangle, Arizona",1978,250000,37,36,-110,-112,Miscellaneous Investigations Series Map I-1003,"Haynes, D.D.; Hackman, R.J."
4813,8893,1,yes,USGS_I-1022_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_8893.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_8893.htm,"Scott, G.R., Taylor, R.B., Epis, R.C., and Wobus, R.A., 1978, Geologic map of the Pueblo 1 degree x 2 degrees quadrangle, south-central Colorado: U.S. Geological Survey, Miscellaneous Investigations Series Map I-1022, scale 1:250,000.",8893,"Geologic map of the Pueblo 1 degree x 2 degrees quadrangle, south-central Colorado",1978,250000,39,38,-104,-106,Miscellaneous Investigations Series Map I-1022,"Scott, G.R.; Taylor, R.B.; Epis, R.C.; Wobus, R.A."
4840,1389,1,yes,USGS_I-345_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_1389.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_1389.htm,"O'Sullivan, R.B., and Beikman, H.M., 1963, Geology, structure, and uranium deposits of the Shiprock quadrangle, New Mexico and Arizona: U.S. Geological Survey, Miscellaneous Geologic Investigations Map I-345, scale 1:250,000.",1389,"Geology, structure, and uranium deposits of the Shiprock quadrangle, New Mexico and Arizona",1963,250000,37,36,-108,-110,Miscellaneous Geologic Investigations Map I-345,"O'Sullivan, R.B.; Beikman, H.M."
4841,1388,1,yes,USGS_I-360_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_1388.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_1388.htm,"Williams, P.L., 1964, Geology, structure, and uranium deposits of the Moab quadrangle, Colorado and Utah: U.S. Geological Survey, Miscellaneous Geologic Investigations Map I-360, scale 1:250,000.",1388,"Geology, structure, and uranium deposits of the Moab quadrangle, Colorado and Utah",1964,250000,39,38,-108,-110,Miscellaneous Geologic Investigations Map I-360,"Williams, P.L."
4842,9346,1,yes,USGS_I-558_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_9346.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_9346.htm,"Johnson, R.B., 1969, Geologic map of the Trinidad quadrangle, south-central Colorado: U.S. Geological Survey, Miscellaneous Geologic Investigations Map I-558, scale 1:250,000.",9346,"Geologic map of the Trinidad quadrangle, south-central Colorado",1969,250000,38,37,-104,-106,Miscellaneous Geologic Investigations Map I-558,"Johnson, R.B."
4866,7598,1,yes,USGS_MF-1571_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_7598.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_7598.htm,"Raymond, W.H., Crock, J.G., and Bieniewski, C.L., 1983, Maps showing geology and mineral resource potential of the Wheeler Wilderness Study Area, Mineral County, Colorado: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1571, scale 1:50,000.",7598,"Maps showing geology and mineral resource potential of the Wheeler Wilderness Study Area, Mineral County, Colorado",1983,50000,37.9333,37.825,-106.7333,-106.8583,Miscellaneous Field Studies Map MF-1571,"Raymond, W.H.; Crock, J.G.; Bieniewski, C.L."
4870,7378,1,yes,USGS_MF-1588-B_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_7378.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_7378.htm,"Eppinger, R.G., Theobald, P.K., and Carlson, R.R., 1985, Generalized geologic map of the Vasquez Peak Wilderness Study Area and the Williams Fork and St. Louis Peak Roadless Areas, Clear Creek, Grand, and Summit Counties, Colorado: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1588-B, scale 1:50,000.",7378,"Generalized geologic map of the Vasquez Peak Wilderness Study Area and the Williams Fork and St. Louis Peak Roadless Areas, Clear Creek, Grand, and Summit Counties, Colorado",1985,50000,39.9167,39.6333,-105.75,-106.1333,Miscellaneous Field Studies Map MF-1588-B,"Eppinger, R.G.; Theobald, P.K.; Carlson, R.R."
4877,7447,1,yes,USGS_MF-1754-B_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_7447.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_7447.htm,"Dubiel, R.F., Bromfield, C.S., Larson, M.J., Patterson, C.G., and Peterson, Fred, 1985, Geologic map of the Dirty Devil, French Spring-Happy Canyon, and Horseshoe Canyon Wilderness Study Areas, Wayne and Garfield Counties, Utah: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1754-B, scale 1:50,000.",7447,"Geologic map of the Dirty Devil, French Spring-Happy Canyon, and Horseshoe Canyon Wilderness Study Areas, Wayne and Garfield Counties, Utah",1985,50000,38.5,38.1153,-110.12,-110.6411,Miscellaneous Field Studies Map MF-1754-B,"Dubiel, R.F.; Bromfield, C.S.; Larson, M.J.; Patterson, C.G.; Peterson, Fred"
4884,7522,1,yes,USGS_MF-1847_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_7522.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_7522.htm,"John, D.A., 1987, Geologic map of the parts of the Morey and Fandango Wilderness Study Areas, Nye County, Nevada: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1847, scale 1:62,500.",7522,"Geologic map of the parts of the Morey and Fandango Wilderness Study Areas, Nye County, Nevada",1987,62500,38.75,38.55,-116.2283,-116.4667,Miscellaneous Field Studies Map MF-1847,"John, D.A."
4890,5489,1,yes,USGS_MF-1922_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_5489.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_5489.htm,"DuBray, E.A., Hurtubise, D.O., and Bannister, C.A., 1987, Geologic map of the Weepah Spring Wilderness Study Area, Lincoln and Nye Counties, Nevada: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1922, scale 1:50,000.",5489,"Geologic map of the Weepah Spring Wilderness Study Area, Lincoln and Nye Counties, Nevada",1987,50000,38.09,37.8333,-114.9667,-115.2,Miscellaneous Field Studies Map MF-1922,"DuBray, E.A.; Hurtubise, D.O.; Bannister, C.A."
4891,5492,1,yes,USGS_MF-1926_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_5492.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_5492.htm,"Evans, J.G., 1987, Geologic map of the Owyhee Canyon Wilderness Study Area, Malheur County, Oregon: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1926, scale 1:62,500.",5492,"Geologic map of the Owyhee Canyon Wilderness Study Area, Malheur County, Oregon",1987,62500,42.8,42.1,-117.0167,-117.6,Miscellaneous Field Studies Map MF-1926,"Evans, J.G."
4894,5503,1,yes,USGS_MF-1938_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_5503.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_5503.htm,"Van Loenen, R.E., 1987, Geologic map of the Mount Grafton Wilderness Study Area, Lincoln and White Pine Counties, Nevada: U.S. Geological Survey, Miscellaneous Field Studies Map MF-1938, scale 1:50,000.",5503,"Geologic map of the Mount Grafton Wilderness Study Area, Lincoln and White Pine Counties, Nevada",1987,50000,38.8289,38.59,-114.6697,-114.8261,Miscellaneous Field Studies Map MF-1938,"Van Loenen, R.E."
4899,5649,1,yes,USGS_MF-2053_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_5649.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_5649.htm,"Wallace, A.R., 1988, Geologic map of the Little Humboldt River Wilderness Study Area, Elko County, Nevada: U.S. Geological Survey, Miscellaneous Field Studies Map MF-2053, scale 1:50,000.",5649,"Geologic map of the Little Humboldt River Wilderness Study Area, Elko County, Nevada",1988,50000,41.4667,41.2667,-116.7667,-117,Miscellaneous Field Studies Map MF-2053,"Wallace, A.R."
4901,487,1,yes,USGS_MF-2092_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_487.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_487.htm,"Stone, Paul, and Pelka, G.J., 1989, Geologic map of the Palen-McCoy Wilderness study area and vicinity, Riverside County, California: U.S. Geological Survey, Miscellaneous Field Studies Map MF-2092, scale 1:62,500.",487,"Geologic map of the Palen-McCoy Wilderness study area and vicinity, Riverside County, California",1989,62500,34,33.5833,-114.75,-115.25,Miscellaneous Field Studies Map MF-2092,"Stone, Paul; Pelka, G.J."
4902,5699,1,yes,USGS_MF-2099_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_5699.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_5699.htm,"Rodgers, D.W., 1989, Geologic map of the Deep Creek Mountains Wilderness Study Area, Tooele and Juab Counties, Utah: U.S. Geological Survey, Miscellaneous Field Studies Map MF-2099, scale 1:50,000.",5699,"Geologic map of the Deep Creek Mountains Wilderness Study Area, Tooele and Juab Counties, Utah",1989,50000,40.0628,39.6667,-113.75,-114,Miscellaneous Field Studies Map MF-2099,"Rodgers, D.W."
4906,5732,1,yes,USGS_MF-2128_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_5732.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_5732.htm,"Jenks, M.D., and Bonnichsen, Bill, 1990, Geologic map of the Bruneau River Wilderness Study Area, Owyhee County, Idaho: U.S. Geological Survey, Miscellaneous Field Studies Map MF-2128, scale 1:50,000.",5732,"Geologic map of the Bruneau River Wilderness Study Area, Owyhee County, Idaho",1990,50000,42.7917,42.25,-115.5,-115.875,Miscellaneous Field Studies Map MF-2128,"Jenks, M.D.; Bonnichsen, Bill"
4907,5759,1,yes,USGS_MF-2142_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_5759.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_5759.htm,"Kauffman, D.F., and Bonnichsen, Bill, 1990, Geologic map of the Little Jacks Creek, Big Jacks Creek, and Duncan Creek Wilderness Study Areas, Owyhee County, Idaho: U.S. Geological Survey, Miscellaneous Field Studies Map MF-2142, scale 1:50,000.",5759,"Geologic map of the Little Jacks Creek, Big Jacks Creek, and Duncan Creek Wilderness Study Areas, Owyhee County, Idaho",1990,50000,42.75,42.4358,-115.9556,-116.2583,Miscellaneous Field Studies Map MF-2142,"Kauffman, D.F.; Bonnichsen, Bill"
4928,93280,1,yes,USGS_SIM-2977_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_93280.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_93280.htm,"Billingsley, G.H., Priest, S.S., and Felger, T.J., 2007, Geologic map of the Cameron 30' x 60' quadrangle, Coconino County, northern Arizona: U.S. Geological Survey, Scientific Investigations Map SIM-2977, scale 1:100,000.",93280,"Geologic map of the Cameron 30' x 60' quadrangle, Coconino County, northern Arizona",2007,100000,36,35.5,-111,-112,Scientific Investigations Map SIM-2977,"Billingsley, G.H.; Priest, S.S.; Felger, T.J."
4814,8950,1,yes,USGS_I-1092_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_8950.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_8950.htm,"Scott, G.R., 1978, Map showing geology, structure, and oil and gas fields in the Sterling 1 degree x 2 degrees quadrangle, Colorado, Nebraska, and Kansas: U.S. Geological Survey, Miscellaneous Investigations Series Map I-1092, scale 1:250,000.",8950,"Map showing geology, structure, and oil and gas fields in the Sterling 1 degree x 2 degrees quadrangle, Colorado, Nebraska, and Kansas",1978,250000,41,40,-102,-104,Miscellaneous Investigations Series Map I-1092,"Scott, G.R."
4815,8982,1,yes,USGS_I-1132_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_8982.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_8982.htm,"Moore, W.J., and Sorensen, M.L., 1979, Geologic map of the Tooele 1 degree by 2 degrees quadrangle, Utah: U.S. Geological Survey, Miscellaneous Investigations Series Map I-1132, scale 1:250,000.",8982,"Geologic map of the Tooele 1 degree by 2 degrees quadrangle, Utah",1979,250000,41,40,-112,-114,Miscellaneous Investigations Series Map I-1132,"Moore, W.J.; Sorensen, M.L."
4816,9003,1,yes,USGS_I-1163_1.json,1,https://ngmdb.usgs.gov/Prodesc/proddesc_9003.htm,https://ngmdb.usgs.gov/Prodesc/proddesc_9003.htm,"Bryant, Bruce, McGrew, L.W., and Wobus, R.A., 1981, Geologic map of the Denver 1 degree x 2 degrees quadrangle, north-central Colorado: U.S. Geological Survey, Miscellaneous Investigations Series Map I-1163, scale 1:250,000.",9003,"Geologic map of the Denver 1 degree x 2 degrees quadrangle, north-central Colorado",1981,250000,40,39,-104,-106,Miscellaneous Investigations Series Map I-1163,"Bryant, Bruce; McGrew, L.W.; Wobus, R.A."
